"","Code_dep","Libelle_dep","Code_circo","Libelle_circo","Code_com","Libelle","Code_BV","Nb_Ins","Nb_abs","Part_abs","Nb_Blancs","Part_Blanc","Nb_Expr","Part_expr","Nb_Arthaud","Part_Arthaud","Part_Roussel","Nb_Macron","Part_Macron","Nb_Lassalle","Part_Lassalle","Nb_LePen","Part_LePen","Nb_Zemmour","Part_Zemmour","Nb_Melenchon","Part_Melenchon","Nb_Hidalgo","Part_Hidalgo","Nb_Jadot","Part_Jadot","Nb_Pecresse","Part_Pecresse","Nb_Poutou","Part_Poutou","Nb_DupontAignan","Part_DupontAignan"
"1","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0001","958",212,22.13,10,1.34,733,98.26,1,0.14,0.95,225,30.7,16,2.18,132,18.01,57,7.78,171,23.33,8,1.09,51,6.96,41,5.59,13,1.77,11,1.5
"2","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0002","1041",265,25.46,12,1.55,758,97.68,3,0.4,2.77,201,26.52,10,1.32,140,18.47,44,5.8,193,25.46,15,1.98,57,7.52,46,6.07,7,0.92,21,2.77
"3","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0003","790",320,40.51,4,0.85,466,99.15,4,0.86,2.36,86,18.45,15,3.22,177,37.98,23,4.94,102,21.89,6,1.29,21,4.51,14,3,1,0.21,6,1.29
"4","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0004","937",263,28.07,4,0.59,668,99.11,1,0.15,2.25,191,28.59,20,2.99,137,20.51,31,4.64,157,23.5,12,1.8,45,6.74,31,4.64,8,1.2,20,2.99
"5","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0005","824",228,27.67,13,2.18,577,96.81,1,0.17,1.56,181,31.37,21,3.64,119,20.62,37,6.41,132,22.88,7,1.21,28,4.85,23,3.99,4,0.69,15,2.6
"6","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0006","821",205,24.97,8,1.3,604,98.05,3,0.5,2.15,157,25.99,28,4.64,126,20.86,46,7.62,128,21.19,10,1.66,33,5.46,34,5.63,8,1.32,18,2.98
"7","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0007","743",158,21.27,8,1.37,569,97.26,2,0.35,2.81,168,29.53,16,2.81,103,18.1,27,4.75,133,23.37,11,1.93,51,8.96,35,6.15,2,0.35,5,0.88
"8","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0008","900",264,29.33,15,2.36,620,97.48,5,0.81,3.55,155,25,15,2.42,184,29.68,29,4.68,132,21.29,16,2.58,36,5.81,12,1.94,3,0.48,11,1.77
"9","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0009","951",254,26.71,7,1,687,98.57,2,0.29,2.62,183,26.64,17,2.47,188,27.37,39,5.68,146,21.25,15,2.18,30,4.37,26,3.78,5,0.73,18,2.62
"10","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0010","810",274,33.83,5,0.93,527,98.32,3,0.57,2.09,128,24.29,19,3.61,132,25.05,14,2.66,153,29.03,15,2.85,22,4.17,11,2.09,7,1.33,12,2.28
"11","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0011","934",192,20.56,10,1.35,728,98.11,1,0.14,2.75,197,27.06,26,3.57,166,22.8,49,6.73,132,18.13,18,2.47,44,6.04,53,7.28,9,1.24,13,1.79
"12","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0012","990",292,29.49,6,0.86,689,98.71,3,0.44,3.77,178,25.83,19,2.76,132,19.16,27,3.92,197,28.59,13,1.89,46,6.68,28,4.06,4,0.58,16,2.32
"13","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0013","1023",230,22.48,14,1.77,774,97.6,7,0.9,3.36,186,24.03,20,2.58,190,24.55,40,5.17,202,26.1,12,1.55,48,6.2,21,2.71,10,1.29,12,1.55
"14","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0014","877",258,29.42,17,2.75,600,96.93,2,0.33,2.83,187,31.17,20,3.33,147,24.5,34,5.67,111,18.5,11,1.83,32,5.33,19,3.17,3,0.5,17,2.83
"15","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0015","874",199,22.77,6,0.89,663,98.22,2,0.3,3.62,207,31.22,31,4.68,96,14.48,35,5.28,149,22.47,14,2.11,59,8.9,27,4.07,6,0.9,13,1.96
"16","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0016","894",290,32.44,10,1.66,590,97.68,7,1.19,2.88,140,23.73,19,3.22,131,22.2,40,6.78,139,23.56,11,1.86,33,5.59,25,4.24,7,1.19,21,3.56
"17","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0017","743",220,29.61,6,1.15,516,98.66,2,0.39,1.55,103,19.96,12,2.33,168,32.56,16,3.1,149,28.88,5,0.97,24,4.65,12,2.33,5,0.97,12,2.33
"18","17","Charente-Maritime","02","2ème circonscription","299","Rochefort","0018","724",192,26.52,8,1.5,518,97.37,6,1.16,2.7,141,27.22,13,2.51,98,18.92,34,6.56,131,25.29,9,1.74,40,7.72,16,3.09,5,0.97,11,2.12
